,rank_ic
2023-09-21,-0.2517482517482518
2023-09-22,0.2027972027972028
2023-09-25,0.42732114568639123
2023-09-26,0.40141840466627926
2023-09-27,0.23076923076923078
2023-09-28,0.2797202797202798
2023-09-29,0.027972027972027972
2023-10-02,0.16083916083916086
2023-10-03,0.2447552447552448
2023-10-04,0.013986013986013986
2023-10-05,-0.04553422044199251
2023-10-06,-0.22377622377622378
2023-10-09,-0.056140696465800305
2023-10-10,0.042031588100300776
2023-10-11,-0.24868689626011295
2023-10-12,-0.4238185133446995
2023-10-13,-0.5524475524475525
2023-10-16,-0.4895104895104896
2023-10-17,-0.4315816040808399
2023-10-18,0.4315816040808399
2023-10-19,0.34325796948578974
2023-10-20,0.46153846153846156
2023-10-23,0.30069930069930073
2023-10-24,0.4098079839779326
2023-10-25,0.7622377622377624
2023-10-26,0.22377622377622378
2023-10-27,0.4685314685314686
2023-10-30,0.45534220441992507
2023-10-31,0.44755244755244755
2023-11-01,0.2517482517482518
2023-11-02,0.6853146853146854
2023-11-03,0.11929897998982567
2023-11-06,0.2000012311594136
2023-11-07,0.29772374904379717
2023-11-08,0.0
2023-11-09,-0.2027972027972028
2023-11-10,-0.17482517482517487
2023-11-13,-0.19014556010507966
2023-11-14,0.20999765933244088
2023-11-15,0.37391224581226906
2023-11-16,0.28021058733533855
2023-11-17,0.21052761174675116
2023-11-20,0.17193088292651346
2023-11-21,0.13684294763538826
2023-11-22,0.5244755244755246
2023-11-24,0.4238185133446995
2023-11-27,-0.21678321678321683
2023-11-28,0.034965034965034975
2023-11-29,0.143607926009361
2023-11-30,-0.5324001159371432
2023-12-01,-0.24868689626011295
2023-12-04,0.2837132196770302
2023-12-05,-0.45857162222259407
2023-12-06,-0.17568254390235616
2023-12-07,-0.5844133603282459
2023-12-08,-0.19614741113473694
2023-12-11,-0.5799729117967911
2023-12-12,-0.27272727272727276
2023-12-13,-0.21127284456119963
2023-12-14,0.21015794050150388
2023-12-15,0.1015763379090602
2023-12-18,-0.27272727272727276
2023-12-19,0.30069930069930073
2023-12-20,0.4125874125874127
2023-12-21,0.3537658665108649
2023-12-22,0.7464973841162387
2023-12-26,0.8315840663996672
2023-12-27,0.4903685278368424
2023-12-28,0.5000123987948392
2023-12-29,0.5766037425738206
2024-01-02,0.6842147381769412
2024-01-03,0.3502632341691732
2024-01-04,0.2947386564454516
2024-01-05,0.5944055944055945
2024-01-08,0.5454545454545455
2024-01-09,0.18181818181818185
2024-01-10,0.2937062937062937
2024-01-11,-0.14685314685314685
2024-01-12,-0.1258741258741259
2024-01-16,-0.05272481016334465
